# EoS format: energy density (fm^-4), pressure (fm^-4), number density (fm^-3), chemical potential (MeV), nan, cs2 (speed of sound squared), phase
epsilon,p,n,mu,col4,cs2,phase
9.164926937013335e-12,7.426552182407788e-18,1.2234356685179682e-11,307.9641047781798,0,0,Hadronic
9.189895854516192e-12,7.45527737629993e-18,1.2267687380547862e-11,307.9641194566539,0,0,Hadronic
9.214961349404969e-12,7.484113676495977e-18,1.2301146992663642e-11,307.96413419190293,0,0,Hadronic
9.240123795231813e-12,7.513061512744544e-18,1.2334736020139975e-11,307.9641489841465,0,0,Hadronic
9.265383566993732e-12,7.542121316456473e-18,1.2368454963518204e-11,307.964163833605,0,0,Hadronic
9.290741041138045e-12,7.571293520711104e-18,1.2402304325275338e-11,307.9641787404999,0,0,Hadronic
9.316196595568268e-12,7.600578560263041e-18,1.243628460983191e-11,307.96419370505316,0,0,Hadronic
9.341750609649674e-12,7.629976871548538e-18,1.2470396323559381e-11,307.9642087274879,0,0,Hadronic
9.367403464214583e-12,7.659488892691615e-18,1.250463997478721e-11,307.964223808028,0,0,Hadronic
9.393155541568686e-12,7.689115063511294e-18,1.2539016073811294e-11,307.96423894689815,0,0,Hadronic
9.419007225496151e-12,7.718855825527502e-18,1.2573525132900774e-11,307.96425414432406,0,0,Hadronic
9.444958901265725e-12,7.748711621968087e-18,1.2608167666306185e-11,307.96426940053215,0,0,Hadronic
9.471010955636345e-12,7.778682897775265e-18,1.2642944190266937e-11,307.9642847157498,0,0,Hadronic
9.497163776862797e-12,7.808770099612125e-18,1.2677855223018867e-11,307.9643000902052,0,0,Hadronic
9.523417754701596e-12,7.838973675869415e-18,1.2712901284802096e-11,307.96431552412747,0,0,Hadronic
9.549773280416895e-12,7.869294076672325e-18,1.2748082897868888e-11,307.96433101774676,0,0,Hadronic
9.576230746786228e-12,7.899731753887084e-18,1.278340058649135e-11,307.9643465712939,0,0,Hadronic
9.602790548106192e-12,7.93028716112753e-18,1.2818854876968975e-11,307.96436218500065,0,0,Hadronic
9.629453080198704e-12,7.96096075376226e-18,1.2854446297637019e-11,307.9643778590997,0,0,Hadronic
9.656218740416512e-12,7.991752988921027e-18,1.2890175378873844e-11,307.96439359382475,0,0,Hadronic
9.683087927649303e-12,8.022664325501714e-18,1.2926042653109072e-11,307.96440938941015,0,0,Hadronic
9.71006104232977e-12,8.053695224177347e-18,1.296204865483168e-11,307.9644252460913,0,0,Hadronic
9.737138486439246e-12,8.08484614740257e-18,1.2998193920597505e-11,307.9644411641047,0,0,Hadronic
9.764320663514038e-12,8.116117559420918e-18,1.3034478989037713e-11,307.9644571436874,0,0,Hadronic
9.791607978651294e-12,8.147509926271587e-18,1.3070904400866633e-11,307.96447318507757,0,0,Hadronic
9.819000838514894e-12,8.17902371579619e-18,1.3107470698889585e-11,307.96448928851436,0,0,Hadronic
9.846499651341793e-12,8.210659397646075e-18,1.3144178428011372e-11,307.96450545423767,0,0,Hadronic
9.874104826947979e-12,8.242417443289169e-18,1.3181028135244239e-11,307.96452168248845,0,0,Hadronic
9.90181677673441e-12,8.274298326016805e-18,1.3218020369715755e-11,307.9645379735086,0,0,Hadronic
9.929635913693566e-12,8.306302520951263e-18,1.3255155682677595e-11,307.9645543275408,0,0,Hadronic
9.957562652414972e-12,8.33843050505213e-18,1.3292434627512885e-11,307.96457074482885,0,0,Hadronic
9.985597409092066e-12,8.370682757124192e-18,1.3329857759745386e-11,307.9645872256174,0,0,Hadronic
1.001374060152803e-11,8.403059757824137e-18,1.3367425637047242e-11,307.96460377015205,0,0,Hadronic
1.0041992649141897e-11,8.435561989667614e-18,1.3405138819247173e-11,307.9646203786794,0,0,Hadronic
1.0070353972975153e-11,8.468189937036777e-18,1.3442997868339256e-11,307.96463705144697,0,0,Hadronic
1.0098824995697817e-11,8.500944086187318e-18,1.3481003348491038e-11,307.9646537887032,0,0,Hadronic
1.0127406141614654e-11,8.533824925255605e-18,1.3519155826051828e-11,307.9646705906975,0,0,Hadronic
1.0156097836671595e-11,8.566832944266067e-18,1.3557455869561275e-11,307.9646874576803,0,0,Hadronic
1.0184900508462204e-11,8.599968635138624e-18,1.3595904049757984e-11,307.96470438990303,0,0,Hadronic
1.0213814586233935e-11,8.633232491695894e-18,1.3634500939587881e-11,307.96472138761794,0,0,Hadronic
1.0242840500894405e-11,8.666625009670433e-18,1.3673247114212548e-11,307.9647384510784,0,0,Hadronic
1.0271978685018023e-11,8.700146686712303e-18,1.371214315101811e-11,307.96475558053874,0,0,Hadronic
1.0301229572852276e-11,8.733798022396367e-18,1.375118962962361e-11,307.9647727762541,0,0,Hadronic
1.0330593600324407e-11,8.76757951822992e-18,1.3790387131889884e-11,307.9647900384809,0,0,Hadronic
1.0360071205047761e-11,8.80149167766004e-18,1.3829736241928094e-11,307.96480736747634,0,0,Hadronic
1.038966282632819e-11,8.835535006080904e-18,1.3869237546108213e-11,307.96482476349865,0,0,Hadronic
1.041936890517089e-11,8.86971001084169e-18,1.3908891633068183e-11,307.96484222680715,0,0,Hadronic
1.0449189884286817e-11,8.904017201253956e-18,1.3948699093722471e-11,307.96485975766205,0,0,Hadronic
1.0479126208099147e-11,8.93845708859904e-18,1.3988660521270664e-11,307.9648773563246,0,0,Hadronic
1.050917832275024e-11,8.973030186136121e-18,1.4028776511206802e-11,307.9648950230571,0,0,Hadronic
1.053934667610788e-11,9.007737009109357e-18,1.4069047661327674e-11,307.96491275812286,0,0,Hadronic
1.0569631717772388e-11,9.042578074756078e-18,1.410947457174232e-11,307.96493056178616,0,0,Hadronic
1.0600033899082926e-11,9.077553902314055e-18,1.415005784488043e-11,307.9649484343123,0,0,Hadronic
1.0630553673124381e-11,9.112665013029405e-18,1.4190798085501542e-11,307.96496637596766,0,0,Hadronic
1.0661191494734263e-11,9.147911930164519e-18,1.4231695900704251e-11,307.9649843870196,0,0,Hadronic
1.0691947820509328e-11,9.183295179005709e-18,1.4272751899935024e-11,307.9650024677366,0,0,Hadronic
1.072282310881225e-11,9.21881528687085e-18,1.4313966694997135e-11,307.9650206183881,0,0,Hadronic
1.075381781977877e-11,9.254472783117629e-18,1.4355340900060156e-11,307.96503883924464,0,0,Hadronic
1.0784932415324393e-11,9.29026819915124e-18,1.4396875131668956e-11,307.96505713057763,0,0,Hadronic
1.0816167359151151e-11,9.326202068432164e-18,1.4438570008752657e-11,307.96507549265976,0,0,Hadronic
1.0847523116754637e-11,9.362274926484265e-18,1.448042615263407e-11,307.9650939257647,0,0,Hadronic
1.0879000155431045e-11,9.398487310902886e-18,1.4522444187039066e-11,307.96511243016704,0,0,Hadronic
1.0910598944284084e-11,9.434839761362808e-18,1.4564624738105804e-11,307.9651310061427,0,0,Hadronic
1.094231995423157e-11,9.471332819625824e-18,1.4606968434393523e-11,307.96514965396847,0,0,Hadronic
1.0974163658013186e-11,9.507967029549675e-18,1.464947590689291e-11,307.96516837392227,0,0,Hadronic
1.1006130530196839e-11,9.544742937095355e-18,1.4692147789034566e-11,307.965187166283,0,0,Hadronic
1.1038221047186192e-11,9.58166109033579e-18,1.4734984716699066e-11,307.9652060313308,0,0,Hadronic
1.107043568722759e-11,9.618722039463794e-18,1.477798732822619e-11,307.9652249693468,0,0,Hadronic
1.1102774930417006e-11,9.655926336800074e-18,1.4821156264424195e-11,307.9652439806133,0,0,Hadronic
1.1135239258707581e-11,9.693274536801867e-18,1.4864492168579883e-11,307.96526306541347,0,0,Hadronic
1.1167829155916581e-11,9.730767196070991e-18,1.4907995686467878e-11,307.96528222403185,0,0,Hadronic
1.1200545107732456e-11,9.768404873361948e-18,1.4951667466360032e-11,307.965301456754,0,0,Hadronic
1.1233387601722499e-11,9.806188129590722e-18,1.4995508159035662e-11,307.9653207638664,0,0,Hadronic
1.1266357127339682e-11,9.844117527842654e-18,1.5039518417790665e-11,307.9653401456569,0,0,Hadronic
1.1299454175930127e-11,9.882193633381054e-18,1.5083698898447492e-11,307.9653596024143,0,0,Hadronic
1.1332679240740639e-11,9.920417013655818e-18,1.5128050259365165e-11,307.9653791344286,0,0,Hadronic
1.1366032816925588e-11,9.958788238311409e-18,1.5172573161448514e-11,307.96539874199084,0,0,Hadronic
1.1399515401554748e-11,9.997307879195828e-18,1.5217268268158597e-11,307.96541842539324,0,0,Hadronic
